doc_id;sentence;class;event;date
0;U vraagt: - alle communicatie tussen 30 maart 2018 en heden van of namens de Minister van Buitenlandse Zaken en medewerkers dan wel vertegenwoordigers van het ministerie van Buitenlandse Zaken (inclusief de Nederlandse ambassade in Tel Aviv en de Nederlandse vertegenwoordiging in Ramallah) omtrent de demonstraties in het kader van de zogenaamde Grote Mars van de Terugkeer die plaatsvonden in of bij Gaza in 2018 en 2019.;geen event;;2018-03-30
0;- alle communicatie tussen 30 maart 2018 en heden van of namens de Minister van Buitenlandse Zaken en medewerkers dan wel vertegenwoordigers van het ministerie van Buitenlandse Zaken enerzijds en de Israëlische ambassade in Den Haag anderzijds omtrent de hiervoor genoemde demonstraties in het kader van de Grote Mars van de Terugkeer en een eventueel Israëlisch onderzoek dat zou plaats vinden naar het geweld dat van Israëlische zijde bij deze demonstraties en/of tegen deze demonstranten is gebruikt.;geen event;;2018-03-30
0;- alle communicatie tussen 30 maart 2018 en heden van of namens de Minister van Buitenlandse Zaken en medewerkers dan wel vertegenwoordigers van het ministerie van Buitenlandse Zaken (inclusief de Nederlandse ambassade in Tel Aviv en de Nederlandse vertegenwoordiging in Ramallah) en (medewerkers en/of vertegenwoordigers van) Israëlische autoriteiten.;geen event;;2018-03-30
0;Datum 5 april 2022 - alle communicatie tussen 30 maart 2018 en heden van of namens Min-BuZa.2022.11662-21 de Minister van Buitenlandse Zaken en medewerkers dan wel vertegenwoordigers van het ministerie van Buitenlandse Zaken (inclusief de Nederlandse ambassade in Tel Aviv en de Nederlandse vertegenwoordiging in Ramallah) die heeft plaatsgevonden bij de door Minister Blok in zijn brief van 19 juni 2020 genoemde gelegenheden betreffende het in bedoelde brief genoemde Israëlische onderzoek.;besluit datum;;2022-04-05
0;Datum 5 april 2022 - alle communicatie tussen 30 maart 2018 en heden van of namens Min-BuZa.2022.11662-21 de Minister van Buitenlandse Zaken en medewerkers dan wel vertegenwoordigers van het ministerie van Buitenlandse Zaken (inclusief de Nederlandse ambassade in Tel Aviv en de Nederlandse vertegenwoordiging in Ramallah) die heeft plaatsgevonden bij de door Minister Blok in zijn brief van 19 juni 2020 genoemde gelegenheden betreffende het in bedoelde brief genoemde Israëlische onderzoek.;geen event;;2018-03-30
0;Datum 5 april 2022 - alle communicatie tussen 30 maart 2018 en heden van of namens Min-BuZa.2022.11662-21 de Minister van Buitenlandse Zaken en medewerkers dan wel vertegenwoordigers van het ministerie van Buitenlandse Zaken (inclusief de Nederlandse ambassade in Tel Aviv en de Nederlandse vertegenwoordiging in Ramallah) die heeft plaatsgevonden bij de door Minister Blok in zijn brief van 19 juni 2020 genoemde gelegenheden betreffende het in bedoelde brief genoemde Israëlische onderzoek.;geen event;;2020-06-19
0;Besluit Ik heb besloten (deels) aan uw verzoek tegemoet te komen en de Datum 5 april 2022 informatie waarom u verzocht (deels) openbaar te maken.;geen event;;2022-04-05
0;Datum 5 april 2022 Min-BuZa.2022.11662-21 Betrekkingen van Nederland met andere staten en met internationale organisaties Op grond van artikel 10, tweede lid, aanhef en onder a, van de Wob blijft verstrekking van informatie achterwege voor zover het belang daarvan niet opweegt tegen het belang van de betrekkingen van Nederland met andere staten en met internationale organisaties.;besluit datum;;2022-04-05
0;Het voorkomen van onevenredige bevoordeling of benadeling Datum Op grond van artikel 10, tweede lid, aanhef en onder g, van de Wob blijft 5 april 2022 verstrekking van informatie achterwege voor zover het belang daarvan Min-BuZa.2022.11662-21 niet opweegt tegen het belang van het voorkomen van onevenredige bevoordeling of benadeling van bij de aangelegenheid betrokken natuurlijke personen of rechtspersonen dan wel van derden.;geen event;;2022-04-05
0;(Dave van den Nieuwenhof) Datum 5 april 2022 Min-BuZa.2022.11662-21 Tegen dit besluit kunt u binnen zes weken na de dag waarop dit is bekend gemaakt een bezwaarschrift indienen, gericht aan de minister van Buitenlandse Zaken, t.a.v.;geen event;;2022-04-05
0;5 april 2022 5.;geen event;;2022-04-05
3;Er zijn derhalve geen documenten geïnventariseerd die onder uw 10 augustus 2022 verzoek vallen.;geen event;;2022-08-10
5;Gelderland 22 juli 2014, ECLI:NL:RBGEL2014:4543directie strategie divisie Juridische zaken Onze referentie TRCNVWA/2019/ 1100 het kader van een controle op de goede en democratische bestuursvoering het belang van ambtenaren dat hun persoonlijke levenssfeer wordt geëerbiedigd minder zwaar geacht.;geen event;;2014-07-22
6;05-08-2021 Nota Voorbereiding SG Deels 10.2.e EZK EZK 42 overleg 18 augustus buiten 2021 reikwijdte 11.1 10.2.g 12.;geen event;;2021-08-18
6;07-09-2021 Nota Overleg met Deels 10.2.e EZK EZK 65 directeur NAM 8 buiten september reikwijdte 11.1 10.2.g 16.;geen event;;2021-09-07
6;24-09-2021 Nota Voorbereiding Deels 10.2.e EZK EZK 70 gesprek DGKE – [X] buiten 29 september reikwijdte 17.;geen event;;2021-09-24
6;27-09-2021 Nota Voorbereiding SG Deels 10.2.e EZK EZK 73 overleg 5 oktober buiten 2021 reikwijdte 10.2.g 18.;geen event;;2021-09-27
8;• Een beslisdocument voor de stuurgroep van september 2021 m.b.t.;geen event;;2021-09-15
11;En gezien het feit dat het afschieten van edelherten in Oostvaardersplassen mag doorgaan tot 31 december 2023 zijn er nieuwe incidenten niet uitgesloten.;geen event;;2023-12-31
17;14 januari 2022 Onze referentie Overwegingen WOB/2021/276 Algemene overweging: openbaarheid t.a.v.;besluit datum;;2021-01-14
17;14 januari 2022 Onze referentie Met vriendelijke groet, WOB/2021/276 De Minister van Landbouw, Natuur en Voedselkwaliteit, namens deze: Nynke Kuipers Teammanager Vergunningen en Handhaving Rijksdienst voor Ondernemend Nederland Bijlagen: - Relevante artikelen uit de Wob - Inventarisatielijst opgevraagde gegevens Bezwaarmogelijkheid Als u het niet eens bent met deze beslissing, kunt u binnen zes weken na verzending van deze brief digitaal of schriftelijk een bezwaarschrift indienen.;besluit datum;;2021-01-14
17;"Bijlage 1 – Relevante artikelen uit de Wob Rijksdienst voor Ondernemend Nederland Vergunningen en Handhaving Artikel 1 In deze wet en de daarop berustende bepalingen wordt verstaan onder: a. document: een bij een bestuursorgaan berustend schriftelijk stuk of ander Datum 14 januari 2022 materiaal dat gegevens bevat; Onze referentie b. bestuurlijke aangelegenheid: een aangelegenheid die betrekking heeft op WOB/2021/276 beleid van een bestuursorgaan, daaronder begrepen de voorbereiding en de uitvoering ervan; c. intern beraad: het beraad over een bestuurlijke aangelegenheid binnen een bestuursorgaan, dan wel binnen een kring van bestuursorganen in het kader van de gezamenlijke verantwoordelijkheid voor een bestuurlijke aangelegenheid; d. niet-ambtelijke adviescommissie: een van overheidswege ingestelde instantie, met als taak het adviseren van een of meer bestuursorganen en waarvan geen ambtenaren lid zijn, die het bestuursorgaan waaronder zij ressorteren adviseren over de onderwerpen die aan de instantie zijn voorgelegd.";geen event;;2021-01-14
17;Document Beoordeling Wob-artikel Ondernemend Nederland Vergunningen en Handhaving 1. totaal aantal machtigingen Volledig openbaar geen LTO Datum 14 januari 2022 Onze referentie WOB/2021/276;geen event;;2021-01-14
27;Voor zover een en ander niet zou blijken uit de (tussen)vonnissen, zou cliën(cid:87)(cid:72) (cid:82)(cid:82)(cid:78) (cid:74)(cid:85)(cid:68)(cid:68)(cid:74) (cid:76)(cid:81)(cid:93)(cid:76)(cid:70)(cid:75)(cid:87) (cid:75)(cid:72)(cid:69)(cid:69)(cid:72)(cid:81) (cid:76)(cid:81) (cid:71)(cid:72) (cid:86)(cid:68)(cid:80)(cid:72)(cid:81)(cid:86)(cid:87)(cid:72)(cid:79)(cid:79)(cid:76)(cid:81)(cid:74) (cid:89)(cid:68)(cid:81) (cid:75)(cid:72)(cid:87) (cid:38)(cid:89)(cid:37)(cid:17)(cid:180) Procedure De ontvangst van uw verzoek is schriftelijk bevestigd bij brief van 1 februari 2022 kenmerk WOB/2022/014.;geen event;;2022-02-01
27;In deze brief is tevens de beslistermijn met vier weken verdaagd tot 17 maart 2022.;beslistermijn verdaagd; is tevens de beslistermijn met vier weken verdaagd ;2022-03-17
27;"Rijksdienst voor Ondernemend Nederland Mandemaat 3 Assen Postbus 40225 8004 DE Zwolle www.rvo.nl Datum Relevante artikelen uit de Wob 22 maart 2022 Onze referentie WOB/2022/014 Bijlage nummer 1 Horend bij Informatieverzoek openbaarmaking gegevens Datum 22 maart 2022 Onze referentie WOB/2022/014 Contactpersoon Relevante artikelen uit de Wob Artikel 1 In deze wet en de daarop berustende bepalingen wordt verstaan onder: a. document: een bij een bestuursorgaan berustend schriftelijk stuk of ander materiaal dat gegevens bevat; b. bestuurlijke aangelegenheid: een aangelegenheid die betrekking heeft op beleid van een bestuursorgaan, daaronder begrepen de voorbereiding en de uitvoering ervan; c. intern beraad: het beraad over een bestuurlijke aangelegenheid binnen een bestuursorgaan, dan wel binnen een kring van bestuursorganen in het kader van de gezamenlijke verantwoordelijkheid voor een bestuurlijke aangelegenheid; d. niet-ambtelijke adviescommissie: een van overheidswege ingestelde instantie, met als taak het adviseren van een of meer bestuursorganen en waarvan geen ambtenaren lid zijn, die het bestuursorgaan waaronder zij ressorteren adviseren over de onderwerpen die aan de instantie zijn voorgelegd.";geen event;;2022-03-22
